Country,Code,Year,LifeExpectancy,GDPPerCapita,Population,Region
Afghanistan,AFG,2023,66.035,1983.8126,41454762,Asia
Albania,ALB,2023,79.602,20501.646,2811660,Europe
Algeria,DZA,2023,76.261,15159.324,46164222,Africa
Andorra,AND,2023,84.041,64631.297,80869,Europe
Angola,AGO,2023,64.617,8597.539,36749909,Africa
Antigua and Barbuda,ATG,2023,77.598,28712.396,93331,North America
Argentina,ARG,2023,77.395,27230.396,45538402,South America
Armenia,ARM,2023,75.683,19402.752,2943398,Asia
Aruba,ABW,2023,76.353,42783.25,107946,North America
Australia,AUS,2023,83.923,60684.96,26451126,Oceania
Austria,AUT,2023,81.956,64536.207,9130434,Europe
Azerbaijan,AZE,2023,74.429,21310.738,10318209,Asia
Bahamas,BHS,2023,74.552,35221.27,399452,North America
Bahrain,BHR,2023,81.284,57819.906,1569674,Asia
Bangladesh,BGD,2023,74.672,8242.398,171466986,Asia
Barbados,BRB,2023,76.178,20865.016,282347,North America
Belarus,BLR,2023,74.434,27782.438,9115679,Europe
Belgium,BEL,2023,82.115,63042.01,11712891,Europe
Belize,BLZ,2023,73.566,12371.009,411112,North America
Benin,BEN,2023,60.774,3721.2126,14111035,Africa
Bermuda,BMU,2023,82.309,102268.92,64721,North America
Bhutan,BTN,2023,72.975,14610.296,786386,Asia
Bolivia,BOL,2023,68.581,11616.157,12244161,South America
Bosnia and Herzegovina,BIH,2023,77.85,19804.918,3185072,Europe
Botswana,BWA,2023,69.163,18932.48,2480242,Africa
Brazil,BRA,2023,75.848,19079.812,211140731,South America
Brunei,BRN,2023,75.327,76616.7,458959,Asia
Bulgaria,BGR,2023,75.636,33073.68,6795805,Europe
Burkina Faso,BFA,2023,61.092,2486.2068,23025777,Africa
Burundi,BDI,2023,63.651,1033.0094,13689455,Africa
Cambodia,KHM,2023,70.668,6695.292,17423884,Asia
Cameroon,CMR,2023,63.7,4875.251,28372690,Africa
Canada,CAN,2023,82.63,58088.38,39299098,North America
Cape Verde,CPV,2023,76.059,9228.461,522335,Africa
Cayman Islands,CYM,2023,80.358,79580.89,73055,North America
Central African Republic,CAF,2023,57.408,1132.6764,5152415,Africa
Chad,TCD,2023,55.069,2433.5332,19319075,Africa
Chile,CHL,2023,81.167,29600.418,19658833,South America
China,CHN,2023,77.953,22687.252,1422584930,Asia
Colombia,COL,2023,77.725,18406.625,52321152,South America
Comoros,COM,2023,66.777,3508.1587,850390,Africa
Congo,COG,2023,65.772,6172.2876,6182890,Africa
Costa Rica,CRI,2023,80.799,26378.541,5105526,North America
Cote d'Ivoire,CIV,2023,61.944,6520.899,31165653,Africa
Croatia,HRV,2023,78.58,41320.258,3896023,Europe
Curacao,CUW,2023,76.8,27617.92,185437,North America
Cyprus,CYP,2023,81.648,51674.902,1344981,Europe
Czechia,CZE,2023,79.834,47558.41,10809722,Europe
Democratic Republic of Congo,COD,2023,61.895,1559.338,105789733,Africa
Denmark,DNK,2023,81.933,68993.91,5948134,Europe
Djibouti,DJI,2023,65.987,6510.6787,1152951,Africa
Dominica,DMA,2023,71.132,18278.225,66531,North America
Dominican Republic,DOM,2023,73.72,23282.49,11331269,North America
East Timor,TLS,2023,67.689,4331.078,1384292,Asia
Ecuador,ECU,2023,77.392,14321.165,17980079,South America
Egypt,EGY,2023,71.633,16691.387,114535772,Africa
El Salvador,SLV,2023,72.099,11404.334,6309629,North America
Equatorial Guinea,GNQ,2023,63.707,15302.151,1847556,Africa
Estonia,EST,2023,79.153,41284.773,1367195,Europe
Eswatini,SWZ,2023,64.123,10181.504,1230507,Africa
Ethiopia,ETH,2023,67.315,2757.9592,128691695,Africa
Faroe Islands,FRO,2023,80.179,71828.44,54738,Europe
Fiji,FJI,2023,67.316,13194.805,924150,Oceania
Finland,FIN,2023,81.91,56051.77,5601185,Europe
France,FRA,2023,83.325,54296.723,66438828,Europe
Gabon,GAB,2023,68.337,18701.422,2484790,Africa
Gambia,GMB,2023,65.86,2963.5986,2697846,Africa
Georgia,GEO,2023,74.496,22590.53,3807494,Asia
Germany,DEU,2023,81.378,63140.195,84548233,Europe
Ghana,GHA,2023,65.498,6808.5376,33787916,Africa
Greece,GRC,2023,81.857,36700.51,10242910,Europe
Greenland,GRL,2023,70.055,71037.54,55951,North America
Grenada,GRD,2023,75.205,17093.156,117094,North America
Guatemala,GTM,2023,72.602,12380.371,18124841,North America
Guinea,GIN,2023,60.74,3904.824,14405469,Africa
Guinea-Bissau,GNB,2023,64.085,2660.8145,2153343,Africa
Guyana,GUY,2023,70.18,49312.36,826357,South America
Haiti,HTI,2023,64.936,2939.1238,11637402,North America
Honduras,HND,2023,72.884,6467.88,10644853,North America
Hong Kong,HKG,2023,85.511,64387.664,7442738,Asia
Hungary,HUN,2023,77.024,40333.254,9686465,Europe
Iceland,ISL,2023,82.691,69268.125,387559,Europe
India,IND,2023,72.003,8870.55,1438069597,Asia
Indonesia,IDN,2023,71.146,13889.949,281190068,Asia
Iran,IRN,2023,77.654,17044.816,90608708,Asia
Iraq,IRQ,2023,72.324,13202.323,45074055,Asia
Ireland,IRL,2023,82.412,117659.73,5196629,Europe
Israel,ISR,2023,82.408,47671.246,9256311,Asia
Italy,ITA,2023,83.716,52842.63,59499452,Europe
Jamaica,JAM,2023,71.479,11398.8125,2839785,North America
Japan,JPN,2023,84.712,47387.22,124370947,Asia
Jordan,JOR,2023,77.814,10308.782,11439220,Asia
Kazakhstan,KAZ,2023,74.402,34703.234,20330109,Asia
Kenya,KEN,2023,63.646,5691.825,55339007,Africa
Kiribati,KIR,2023,66.473,3175.0247,132540,Oceania
Kosovo,OWID_KOS,2023,78.033,14240.203,1700039,Europe
Kuwait,KWT,2023,80.405,47790.19,4838781,Asia
Kyrgyzstan,KGZ,2023,71.677,6575.7754,7073523,Asia
Laos,LAO,2023,68.964,8372.156,7665001,Asia
Latvia,LVA,2023,76.19,37277.723,1882399,Europe
Lebanon,LBN,2023,77.817,11330.269,5773494,Asia
Lesotho,LSO,2023,57.375,2592.457,2311476,Africa
Liberia,LBR,2023,62.163,1616.9237,5493035,Africa
Libya,LBY,2023,69.339,12476.598,7305659,Africa
Lithuania,LTU,2023,76.025,46333.902,2854104,Europe
Luxembourg,LUX,2023,82.229,130048.92,665101,Europe
Macao,MAC,2023,83.075,104815.2,713916,Asia
Madagascar,MDG,2023,63.632,1629.6055,31195937,Africa
Malawi,MWI,2023,67.353,1649.2987,21104480,Africa
Malaysia,MYS,2023,76.657,32857.668,35126295,Asia
Maldives,MDV,2023,81.041,22333.047,526009,Asia
Mali,MLI,2023,60.439,2861.4805,23769130,Africa
Malta,MLT,2023,83.299,60459.766,532964,Europe
Marshall Islands,MHL,2023,66.945,6774.7827,38849,Oceania
Mauritania,MRT,2023,68.484,6276.475,5022442,Africa
Mauritius,MUS,2023,74.926,26471.035,1273591,Africa
Mexico,MEX,2023,75.069,21864.924,129739761,North America
Micronesia (country),FSM,2023,67.198,3841.2712,112646,Oceania
Moldova,MDA,2023,71.198,15980.566,3067072,Europe
Mongolia,MNG,2023,71.734,16222.864,3431938,Asia
Montenegro,MNE,2023,77.087,27243.404,633553,Europe
Morocco,MAR,2023,75.313,8915.352,37712516,Africa
Mozambique,MOZ,2023,63.611,1512.6672,33635163,Africa
Myanmar,MMR,2023,66.889,5364.138,54133800,Asia
Namibia,NAM,2023,67.385,10126.236,2963102,Africa
Nauru,NRU,2023,62.109,11858.519,11900,Oceania
Nepal,NPL,2023,70.354,4861.2305,29694614,Asia
Netherlands,NLD,2023,82.158,70198.95,18092526,Europe
New Zealand,NZL,2023,82.088,49592.586,5172837,Oceania
Nicaragua,NIC,2023,74.947,7496.531,6823619,North America
Niger,NER,2023,61.183,1712.9703,26159863,Africa
Nigeria,NGA,2023,54.462,7843.004,227882949,Africa
North Macedonia,MKD,2023,77.395,23455.223,1831800,Europe
Norway,NOR,2023,83.308,94364.96,5519167,Europe
Oman,OMN,2023,80.031,37793.617,5049267,Asia
Pakistan,PAK,2023,67.649,5418.7695,247504505,Asia
Palau,PLW,2023,69.269,16487.154,17751,Oceania
Palestine,PSE,2023,65.17,5562.4243,5409201,Asia
Panama,PAN,2023,79.594,35872.973,4458758,North America
Papua New Guinea,PNG,2023,66.134,4206.3784,10389638,Oceania
Paraguay,PRY,2023,73.844,15831.585,6844150,South America
Peru,PER,2023,77.74,15342.274,33845616,South America
Philippines,PHL,2023,69.833,9898.533,114891199,Asia
Poland,POL,2023,78.633,43672.766,38762847,Europe
Portugal,PRT,2023,82.36,41768.258,10430735,Europe
Puerto Rico,PRI,2023,81.69,42837.87,3242022,North America
Qatar,QAT,2023,82.368,116159.14,2979086,Asia
Romania,ROU,2023,75.938,40116.688,19118482,Europe
Russia,RUS,2023,73.154,39881.45,145440502,Europe
Rwanda,RWA,2023,67.785,3168.0308,13954473,Africa
Saint Kitts and Nevis,KNA,2023,72.145,30616.578,46783,North America
Saint Lucia,LCA,2023,72.697,23636.027,179291,North America
Saint Vincent and the Grenadines,VCT,2023,71.23,17858.244,101331,North America
Samoa,WSM,2023,71.698,7384.6914,216673,Oceania
San Marino,SMR,2023,85.706,70951.79,33761,Europe
Sao Tome and Principe,STP,2023,69.718,5541.302,230882,Africa
Saudi Arabia,SAU,2023,78.732,64481.844,33264289,Asia
Senegal,SEN,2023,68.683,4304.7617,18077573,Africa
Serbia,SRB,2023,76.769,25735.133,6773204,Europe
Seychelles,SYC,2023,72.862,28713.668,127961,Africa
Sierra Leone,SLE,2023,61.786,3034.946,8460523,Africa
Singapore,SGP,2023,83.736,130296.84,5789092,Asia
Sint Maarten (Dutch part),SXM,2023,76.371,46571.09,42775,North America
Slovakia,SVK,2023,78.341,39501.95,5518057,Europe
Slovenia,SVN,2023,81.603,47986.418,2118394,Europe
Solomon Islands,SLB,2023,70.528,2339.8748,800014,Oceania
Somalia,SOM,2023,58.816,1401.6473,18358622,Africa
South Africa,ZAF,2023,66.139,13695.376,63212386,Africa
South Korea,KOR,2023,84.329,54029.344,51748744,Asia
Spain,ESP,2023,83.67,47322.594,47911583,Europe
Sri Lanka,LKA,2023,77.483,13065.07,22971615,Asia
Sudan,SDN,2023,66.331,2181.079,50042800,Africa
Suriname,SUR,2023,73.631,19020.867,628892,South America
Sweden,SWE,2023,83.262,62122.51,10551493,Europe
Switzerland,CHE,2023,83.954,85383.36,8870564,Europe
Tajikistan,TJK,2023,71.79,4472.324,10389807,Asia
Tanzania,TZA,2023,66.995,3620.7935,66617607,Africa
Thailand,THA,2023,76.412,21245.271,71702436,Asia
Togo,TGO,2023,62.74,3215.823,8223853,Africa
Tonga,TON,2023,72.895,7031.3203,104613,Oceania
Trinidad and Tobago,TTO,2023,73.49,31196.604,1502938,North America
Tunisia,TUN,2023,76.508,12650.962,12200434,Africa
Turkey,TUR,2023,77.156,35069.17,87270502,Asia
Turkmenistan,TKM,2023,70.073,17685.86,7364437,Asia
Turks and Caicos Islands,TCA,2023,78.008,31839.371,46221,North America
Tuvalu,TUV,2023,67.105,5315.163,9837,Oceania
Uganda,UGA,2023,68.252,2791.0557,48656606,Africa
Ukraine,UKR,2023,73.422,15916.958,37732833,Europe
United Arab Emirates,ARE,2023,82.909,70239.836,10642089,Asia
United Kingdom,GBR,2023,81.302,53423.42,68682965,Europe
United States,USA,2023,79.304,74351.67,343477330,North America
Uruguay,URY,2023,78.138,31100.969,3388083,South America
Uzbekistan,UZB,2023,72.388,10514.096,35652311,Asia
Vanuatu,VUT,2023,71.477,3782.8264,320422,Oceania
Vietnam,VNM,2023,74.588,13534.8,100352189,Asia
Zambia,ZMB,2023,66.349,3673.4841,20723967,Africa
Zimbabwe,ZWE,2023,62.775,5218.0454,16340829,Africa
