id,name,height,weight,base_experience,type
1,bulbasaur,7,69,64,"grass, poison"
2,ivysaur,10,130,142,"grass, poison"
3,venusaur,20,1000,236,"grass, poison"
4,charmander,6,85,62,fire
5,charmeleon,11,190,142,fire
6,charizard,17,905,240,"fire, flying"
7,squirtle,5,90,63,water
8,wartortle,10,225,142,water
9,blastoise,16,855,239,water
10,caterpie,3,29,39,bug
11,metapod,7,99,72,bug
12,butterfree,11,320,178,"bug, flying"
13,weedle,3,32,39,"bug, poison"
14,kakuna,6,100,72,"bug, poison"
15,beedrill,10,295,178,"bug, poison"
16,pidgey,3,18,50,"normal, flying"
17,pidgeotto,11,300,122,"normal, flying"
18,pidgeot,15,395,216,"normal, flying"
19,rattata,3,35,51,normal
20,raticate,7,185,145,normal
21,spearow,3,20,52,"normal, flying"
22,fearow,12,380,155,"normal, flying"
23,ekans,20,69,58,poison
24,arbok,35,650,157,poison
25,pikachu,4,60,112,electric
26,raichu,8,300,218,electric
27,sandshrew,6,120,60,ground
28,sandslash,10,295,158,ground
29,nidoran-f,4,70,55,poison
30,nidorina,8,200,128,poison
31,nidoqueen,13,600,227,"poison, ground"
32,nidoran-m,5,90,55,poison
33,nidorino,9,195,128,poison
34,nidoking,14,620,227,"poison, ground"
35,clefairy,6,75,113,fairy
36,clefable,13,400,217,fairy
37,vulpix,6,99,60,fire
38,ninetales,11,199,177,fire
39,jigglypuff,5,55,95,"normal, fairy"
40,wigglytuff,10,120,196,"normal, fairy"
41,zubat,8,75,49,"poison, flying"
42,golbat,16,550,159,"poison, flying"
43,oddish,5,54,64,"grass, poison"
44,gloom,8,86,138,"grass, poison"
45,vileplume,12,186,221,"grass, poison"
46,paras,3,54,57,"bug, grass"
47,parasect,10,295,142,"bug, grass"
48,venonat,10,300,61,"bug, poison"
49,venomoth,15,125,158,"bug, poison"
50,diglett,2,8,53,ground
51,dugtrio,7,333,149,ground
52,meowth,4,42,58,normal
53,persian,10,320,154,normal
54,psyduck,8,196,64,water
55,golduck,17,766,175,water
56,mankey,5,280,61,fighting
57,primeape,10,320,159,fighting
58,growlithe,7,190,70,fire
59,arcanine,19,1550,194,fire
60,poliwag,6,124,60,water
61,poliwhirl,10,200,135,water
62,poliwrath,13,540,230,"water, fighting"
63,abra,9,195,62,psychic
64,kadabra,13,565,140,psychic
65,alakazam,15,480,225,psychic
66,machop,8,195,61,fighting
67,machoke,15,705,142,fighting
68,machamp,16,1300,227,fighting
69,bellsprout,7,40,60,"grass, poison"
70,weepinbell,10,64,137,"grass, poison"
71,victreebel,17,155,221,"grass, poison"
72,tentacool,9,455,67,"water, poison"
73,tentacruel,16,550,180,"water, poison"
74,geodude,4,200,60,"rock, ground"
75,graveler,10,1050,137,"rock, ground"
76,golem,14,3000,223,"rock, ground"
77,ponyta,10,300,82,fire
78,rapidash,17,950,175,fire
79,slowpoke,12,360,63,"water, psychic"
80,slowbro,16,785,172,"water, psychic"
81,magnemite,3,60,65,"electric, steel"
82,magneton,10,600,163,"electric, steel"
83,farfetchd,8,150,132,"normal, flying"
84,doduo,14,392,62,"normal, flying"
85,dodrio,18,852,165,"normal, flying"
86,seel,11,900,65,water
87,dewgong,17,1200,166,"water, ice"
88,grimer,9,300,65,poison
89,muk,12,300,175,poison
90,shellder,3,40,61,water
91,cloyster,15,1325,184,"water, ice"
92,gastly,13,1,62,"ghost, poison"
93,haunter,16,1,142,"ghost, poison"
94,gengar,15,405,225,"ghost, poison"
95,onix,88,2100,77,"rock, ground"
96,drowzee,10,324,66,psychic
97,hypno,16,756,169,psychic
98,krabby,4,65,65,water
99,kingler,13,600,166,water
100,voltorb,5,104,66,electric
101,electrode,12,666,172,electric
102,exeggcute,4,25,65,"grass, psychic"
103,exeggutor,20,1200,186,"grass, psychic"
104,cubone,4,65,64,ground
105,marowak,10,450,149,ground
106,hitmonlee,15,498,159,fighting
107,hitmonchan,14,502,159,fighting
108,lickitung,12,655,77,normal
109,koffing,6,10,68,poison
110,weezing,12,95,172,poison
111,rhyhorn,10,1150,69,"ground, rock"
112,rhydon,19,1200,170,"ground, rock"
113,chansey,11,346,395,normal
114,tangela,10,350,87,grass
115,kangaskhan,22,800,172,normal
116,horsea,4,80,59,water
117,seadra,12,250,154,water
118,goldeen,6,150,64,water
119,seaking,13,390,158,water
120,staryu,8,345,68,water
121,starmie,11,800,182,"water, psychic"
122,mr-mime,13,545,161,"psychic, fairy"
123,scyther,15,560,100,"bug, flying"
124,jynx,14,406,159,"ice, psychic"
125,electabuzz,11,300,172,electric
126,magmar,13,445,173,fire
127,pinsir,15,550,175,bug
128,tauros,14,884,172,normal
129,magikarp,9,100,40,water
130,gyarados,65,2350,189,"water, flying"
131,lapras,25,2200,187,"water, ice"
132,ditto,3,40,101,normal
133,eevee,3,65,65,normal
134,vaporeon,10,290,184,water
135,jolteon,8,245,184,electric
136,flareon,9,250,184,fire
137,porygon,8,365,79,normal
138,omanyte,4,75,71,"rock, water"
139,omastar,10,350,173,"rock, water"
140,kabuto,5,115,71,"rock, water"
141,kabutops,13,405,173,"rock, water"
142,aerodactyl,18,590,180,"rock, flying"
143,snorlax,21,4600,189,normal
144,articuno,17,554,261,"ice, flying"
145,zapdos,16,526,261,"electric, flying"
146,moltres,20,600,261,"fire, flying"
147,dratini,18,33,60,dragon
148,dragonair,40,165,147,dragon
149,dragonite,22,2100,270,"dragon, flying"
150,mewtwo,20,1220,306,psychic
151,mew,4,40,270,psychic
152,chikorita,9,64,64,grass
153,bayleef,12,158,142,grass
154,meganium,18,1005,236,grass
155,cyndaquil,5,79,62,fire
156,quilava,9,190,142,fire
157,typhlosion,17,795,240,fire
158,totodile,6,95,63,water
159,croconaw,11,250,142,water
160,feraligatr,23,888,239,water
161,sentret,8,60,43,normal
162,furret,18,325,145,normal
163,hoothoot,7,212,52,"normal, flying"
164,noctowl,16,408,158,"normal, flying"
165,ledyba,10,108,53,"bug, flying"
166,ledian,14,356,137,"bug, flying"
167,spinarak,5,85,50,"bug, poison"
168,ariados,11,335,140,"bug, poison"
169,crobat,18,750,241,"poison, flying"
170,chinchou,5,120,66,"water, electric"
171,lanturn,12,225,161,"water, electric"
172,pichu,3,20,41,electric
173,cleffa,3,30,44,fairy
174,igglybuff,3,10,42,"normal, fairy"
175,togepi,3,15,49,fairy
176,togetic,6,32,142,"fairy, flying"
177,natu,2,20,64,"psychic, flying"
178,xatu,15,150,165,"psychic, flying"
179,mareep,6,78,56,electric
180,flaaffy,8,133,128,electric
181,ampharos,14,615,230,electric
182,bellossom,4,58,221,grass
183,marill,4,85,88,"water, fairy"
184,azumarill,8,285,189,"water, fairy"
185,sudowoodo,12,380,144,rock
186,politoed,11,339,225,water
187,hoppip,4,5,50,"grass, flying"
188,skiploom,6,10,119,"grass, flying"
189,jumpluff,8,30,207,"grass, flying"
190,aipom,8,115,72,normal
191,sunkern,3,18,36,grass
192,sunflora,8,85,149,grass
193,yanma,12,380,78,"bug, flying"
194,wooper,4,85,42,"water, ground"
195,quagsire,14,750,151,"water, ground"
196,espeon,9,265,184,psychic
197,umbreon,10,270,184,dark
198,murkrow,5,21,81,"dark, flying"
199,slowking,20,795,172,"water, psychic"
200,misdreavus,7,10,87,ghost
201,unown,5,50,118,psychic
202,wobbuffet,13,285,142,psychic
203,girafarig,15,415,159,"normal, psychic"
204,pineco,6,72,58,bug
205,forretress,12,1258,163,"bug, steel"
206,dunsparce,15,140,145,normal
207,gligar,11,648,86,"ground, flying"
208,steelix,92,4000,179,"steel, ground"
209,snubbull,6,78,60,fairy
210,granbull,14,487,158,fairy
211,qwilfish,5,39,88,"water, poison"
212,scizor,18,1180,175,"bug, steel"
213,shuckle,6,205,177,"bug, rock"
214,heracross,15,540,175,"bug, fighting"
215,sneasel,9,280,86,"dark, ice"
216,teddiursa,6,88,66,normal
217,ursaring,18,1258,175,normal
218,slugma,7,350,50,fire
219,magcargo,8,550,151,"fire, rock"
220,swinub,4,65,50,"ice, ground"
221,piloswine,11,558,158,"ice, ground"
222,corsola,6,50,144,"water, rock"
223,remoraid,6,120,60,water
224,octillery,9,285,168,water
225,delibird,9,160,116,"ice, flying"
226,mantine,21,2200,170,"water, flying"
227,skarmory,17,505,163,"steel, flying"
228,houndour,6,108,66,"dark, fire"
229,houndoom,14,350,175,"dark, fire"
230,kingdra,18,1520,243,"water, dragon"
231,phanpy,5,335,66,ground
232,donphan,11,1200,175,ground
233,porygon2,6,325,180,normal
234,stantler,14,712,163,normal
235,smeargle,12,580,88,normal
236,tyrogue,7,210,42,fighting
237,hitmontop,14,480,159,fighting
238,smoochum,4,60,61,"ice, psychic"
239,elekid,6,235,72,electric
240,magby,7,214,73,fire
241,miltank,12,755,172,normal
242,blissey,15,468,608,normal
243,raikou,19,1780,261,electric
244,entei,21,1980,261,fire
245,suicune,20,1870,261,water
246,larvitar,6,720,60,"rock, ground"
247,pupitar,12,1520,144,"rock, ground"
248,tyranitar,20,2020,270,"rock, dark"
249,lugia,52,2160,306,"psychic, flying"
250,ho-oh,38,1990,306,"fire, flying"
251,celebi,6,50,270,"psychic, grass"
252,treecko,5,50,62,grass
253,grovyle,9,216,142,grass
254,sceptile,17,522,239,grass
255,torchic,4,25,62,fire
256,combusken,9,195,142,"fire, fighting"
257,blaziken,19,520,239,"fire, fighting"
258,mudkip,4,76,62,water
259,marshtomp,7,280,142,"water, ground"
260,swampert,15,819,241,"water, ground"
261,poochyena,5,136,56,dark
262,mightyena,10,370,147,dark
263,zigzagoon,4,175,56,normal
264,linoone,5,325,147,normal
265,wurmple,3,36,56,bug
266,silcoon,6,100,72,bug
267,beautifly,10,284,178,"bug, flying"
268,cascoon,7,115,72,bug
269,dustox,12,316,173,"bug, poison"
270,lotad,5,26,44,"water, grass"
271,lombre,12,325,119,"water, grass"
272,ludicolo,15,550,216,"water, grass"
273,seedot,5,40,44,grass
274,nuzleaf,10,280,119,"grass, dark"
275,shiftry,13,596,216,"grass, dark"
276,taillow,3,23,54,"normal, flying"
277,swellow,7,198,159,"normal, flying"
278,wingull,6,95,54,"water, flying"
279,pelipper,12,280,154,"water, flying"
280,ralts,4,66,40,"psychic, fairy"
281,kirlia,8,202,97,"psychic, fairy"
282,gardevoir,16,484,233,"psychic, fairy"
283,surskit,5,17,54,"bug, water"
284,masquerain,8,36,159,"bug, flying"
285,shroomish,4,45,59,grass
286,breloom,12,392,161,"grass, fighting"
287,slakoth,8,240,56,normal
288,vigoroth,14,465,154,normal
289,slaking,20,1305,252,normal
290,nincada,5,55,53,"bug, ground"
291,ninjask,8,120,160,"bug, flying"
292,shedinja,8,12,83,"bug, ghost"
293,whismur,6,163,48,normal
294,loudred,10,405,126,normal
295,exploud,15,840,221,normal
296,makuhita,10,864,47,fighting
297,hariyama,23,2538,166,fighting
298,azurill,2,20,38,"normal, fairy"
299,nosepass,10,970,75,rock
300,skitty,6,110,52,normal
301,delcatty,11,326,140,normal
302,sableye,5,110,133,"dark, ghost"
303,mawile,6,115,133,"steel, fairy"
304,aron,4,600,66,"steel, rock"
305,lairon,9,1200,151,"steel, rock"
306,aggron,21,3600,239,"steel, rock"
307,meditite,6,112,56,"fighting, psychic"
308,medicham,13,315,144,"fighting, psychic"
