formal_section,average_word_count
"Biology, Genetics and Genomics",166.0
Science and Religious Studies,165.0
Work Taken During High School,160.0
Academic Advising,154.0
(NOTE: CALENDAR SUBJECT TO CHANGE),152.4
Satisfactory Performance Each Term (Term Credit Requirements),147.0
Part 3: The Curriculum,147.0
Chinese Society and Culture Coursesa,146.16666666666666
Study Away at Duke University,144.0
Incomplete Coursework and Excused Absence from Final Exam,143.16666666666666
Duke Kunshan University Community Standard,141.0
Credit (CR/NC) Grading System.),138.55555555555554
Time Limit for Completing Undergraduate Degree,138.42857142857142
Part 5: Financial Information,136.0
Students on Academic Probation,135.9
Procedure for Resolution of Students' Academic Concerns,135.4
Key Components,132.0
Career Services,131.0
Grading and Grade Requirements,130.75
Academic Integrity,129.33333333333334
Mission Statement,127.9090909090909
"Transfer of Work Taken Elsewhere, Part 6.)",127.25
Work Taken After Matriculation at Duke Kunshan University,124.5
Refer to Duke Kunshan University Student Handbook,124.0
• Prematriculation College Credit,123.5
A 21st Century Curriculum,123.0
Withdraw Date Refund %,120.0
"Section 3, Credits Required for Degrees.)",119.26923076923077
Chinese as Second Language Courses,118.62068965517241
Student Clubs and Organizations,117.0
Full-time and Part-time Degree Status,113.5
Language Courses (8-16 Credits),111.0
Office of Global Education and Study Away,109.25
International Placement Credit (IPC),108.0
Restriction on Past Due Accounts,107.0
Chinese Student Services and Student Mobility,106.2
Student Affairs Conceptual Framework,104.75
Submission of Term Paper,102.66666666666667
A Liberal Arts College Experience,102.4
Other Study Away Programs,101.5
Athletics & University Sports,101.0
Part 1: General Information,100.5
Blue Oasis Student Center,99.25
Forfeiture of Precollege Credit Awarded,95.0
Academic Recognition and Honors,93.1
Part 10: Majors and Courses,92.19328859060403
Credits Required for Degree,92.16666666666667
Course Approval and Credit Transfer,90.0
Part 7: Academic Advising and Support,87.0
Class Attendance and Missed Work,85.75
College Board Advanced Placement Program (AP) Examinations,83.0
Seven Principles of Duke Kunshan University Academic Advising,82.0
Scholarships and Financial Aid,81.0
Transfer Credit for Foreign Language,79.0
The W and WA Designations,79.0
The Modern Regulatory State 4,78.25
"Part 4: Admission, Scholarships and Financial Aid",69.5
Academic Integrity: Undergraduate Program Policies,69.5
Application Timelines,67.0
Student Affairs,66.0
Estimated Expenses,64.0
Compliance with Academic Regulations,62.666666666666664
• A Teacher Recommendation Form,54.0
Transfer of Work Taken Elsewhere,49.5
• Signed Consent Form,38.0
• Registrar's Office: DKU-registrar@dukekunshan.edu.cn,38.0
o SAT Subject Tests,36.0
• Decision Notification Date: Mid-March,33.0
Figure 1. Course Distribution and Graduation Requirements,32.0
Requirements for All Majors,25.0
"Environmental Justice: The Economics of Race, Place and",21.5
Entrance Credit and Placement,20.0
Machine Learning and AI,18.0
• High School Transcript5,16.0
• International Student Services: DKU-ISS@dukekunshan.edu.cn,16.0
Two Signature Work Capstone Courses (8 credits),14.0
Applied Mathematics and Computational Sciences/Computer Science,14.0
• Campus Day: March,14.0
ARHU101 The Art of Interpretation: Written Texts 4,14.0
• Counselor Recommendation Letter,13.0
• School Recommendation Form,12.0
Human Behavior Using Data from the Internet,10.0
• Gaokao: Early June,9.5
Global Networks Concentration Courses,8.0
Environmental Sustainability Concentration Courses,8.0
Urban Design Concentration Courses,8.0
