passage_id,chapter,section,subsection,formal_section,page,text,text_clean,word_count,cluster,cluster_name,x,y,neighbor_1,neighbor_2,neighbor_3,neighbor_4,neighbor_5
p0001,Part 1: General Information,Unknown,Unknown,Part 1: General Information,10,"Welcome to the intellectual and personal excitement of Duke Kunshan University, to its commitment to the finest education and to its passion for shaping a more knowledgeable, inclusive, responsible and peaceful world. DKU’s founders, leaders and community have set ambitious goals. Confident that you will contribute importantly to reaching those goals, we invite you to join us in pursuing them together. Your experience here will prepare you to be among the next generations of leaders, who create the cutting edge of new knowledge, engage with courage and wisdom the world’s most pressing challenges, and extend perspectives and understanding across our globe. We share with our fellow human beings across the world the desire to make it a better place whether at the level of providing clean drinking water and sustainable energy systems for rural villages, or of developing preventive measures against future pandemics, or of peacefully negotiating regional or global conflict. Please use this bulletin as a tool to understand who we are, to chart your own path through the rich opportunities DKU offers, and to help you to define the personal directions you hope to take","Welcome to the intellectual and personal excitement of Duke Kunshan University, to its commitment to the finest education and to its passion for shaping a more knowledgeable, inclusive, responsible and peaceful world. DKU’s founders, leaders and community have set ambitious goals. Confident that you will contribute importantly to reaching those goals, we invite you to join us in pursuing them together. Your experience here will prepare you to be among the next generations of leaders, who create the cutting edge of new knowledge, engage with courage and wisdom the world’s most pressing challenges, and extend perspectives and understanding across our globe. We share with our fellow human beings across the world the desire to make it a better place whether at the level of providing clean drinking water and sustainable energy systems for rural villages, or of developing preventive measures against future pandemics, or of peacefully negotiating regional or global conflict. Please use this bulletin as a tool to understand who we are, to chart your own path through the rich opportunities DKU offers, and to help you to define the personal directions you hope to take",187,2,DKU & Duke Academic Structure,2.4169807,1.5557901,p0004,p0014,p0003,p0266,p0018
p0002,Part 1: General Information,Unknown,Unknown,Part 1: General Information,10,"through DKU and beyond. --Prof. Youmei Feng, Chancellor --Dr. Al Bloom, Executive Vice Chancellor","through DKU and beyond. --Prof. Youmei Feng, Chancellor --Dr. Al Bloom, Executive Vice Chancellor",14,3,Public Policy & Social Sciences,2.3950458,1.4564524,p0008,p0001,p0007,p0242,p1082
p0003,Part 1: General Information,Mission Statement,Unknown,Mission Statement,10,"Duke Kunshan University is a highly selective research -oriented, liberal arts and sciences university located in China, whose primary mission is to enable students from around the world to lead purpose ful and productive lives. By delivering the highest quality undergraduate and graduate education that is truly interdisciplinary, we prepare students for professional, intellectual and societal leadership roles across the globe. The core of our educational offering is a four -year undergraduate degree program featuring an integrated and multi-disciplinary curriculum, with an effective blend of Chinese, American, and global techniques and values and a culture of academic excellence and freedom. Our world-class faculty pursue knowledge in service of society, involving students in innovative scholarship and research programs. As a premier Sino-US joint -venture university, we embrace the integration of global, national, and local traditions of thought and experience and promote cross-cultural understanding and cross-border collaborations.","Duke Kunshan University is a highly selective research -oriented, liberal arts and sciences university located in China, whose primary mission is to enable students from around the world to lead purpose ful and productive lives. By delivering the highest quality undergraduate and graduate education that is truly interdisciplinary, we prepare students for professional, intellectual and societal leadership roles across the globe. The core of our educational offering is a four -year undergraduate degree program featuring an integrated and multi-disciplinary curriculum, with an effective blend of Chinese, American, and global techniques and values and a culture of academic excellence and freedom. Our world-class faculty pursue knowledge in service of society, involving students in innovative scholarship and research programs. As a premier Sino-US joint -venture university, we embrace the integration of global, national, and local traditions of thought and experience and promote cross-cultural understanding and cross-border collaborations.",145,2,DKU & Duke Academic Structure,2.7152302,1.4675826,p0006,p0015,p0018,p0007,p0021
p0004,Part 1: General Information,Mission Statement,Statement on Diversity and Inclusion,Mission Statement,10,"Duke Kunshan University welcomes passionate, creativ e, and intellectually -driven students, faculty, and staff from all walks of life, from all over the world. We affirm the diverse histories, perspectives, experiences, identities, languages, and cultures that enhance our community, and we aim to create an environment where all members of our community are accepted, appreciated, and celebrated. Our commitment to inclusivity is grounded in the university’s mission. DKU is a","Duke Kunshan University welcomes passionate, creativ e, and intellectually -driven students, faculty, and staff from all walks of life, from all over the world. We affirm the diverse histories, perspectives, experiences, identities, languages, and cultures that enhance our community, and we aim to create an environment where all members of our community are accepted, appreciated, and celebrated. Our commitment to inclusivity is grounded in the university’s mission. DKU is a",70,2,DKU & Duke Academic Structure,2.4567077,1.5282805,p0014,p0266,p0003,p0001,p0018
p0005,Part 1: General Information,Mission Statement,Statement on Diversity and Inclusion,Mission Statement,11,"community where those who study, live, and work see difference as an opportunity for meaningful dialogue, creative expression, and innovative thinking. The university aspires to foster mutual respect and understanding among and for all people, regardless of differing cultures, ethnicities, races, religions, genders, sexual orientations, ages, national origins, socio -economic backgrounds, capabilities, or any other category that can be used to divide people. Our uniquely rich cultural community is designed to cultivate informed and engaged citizens of the world.","community where those who study, live, and work see difference as an opportunity for meaningful dialogue, creative expression, and innovative thinking. The university aspires to foster mutual respect and understanding among and for all people, regardless of differing cultures, ethnicities, races, religions, genders, sexual orientations, ages, national origins, socio -economic backgrounds, capabilities, or any other category that can be used to divide people. Our uniquely rich cultural community is designed to cultivate informed and engaged citizens of the world.",79,5,"Arts, Media & Culture",3.297328,1.9658611,p0253,p1042,p0265,p0260,p1043
p0006,Part 1: General Information,Mission Statement,Who We Are,Mission Statement,11,"Duke Kunshan University is a Sino -American partnership of Duke University, Wuhan University and Kunshan city in Jiangsu province to create a world -class liberal arts and research university offering a range of academic programs for students from China and throughout the world. A nonprofit, joint -venture institution, Duke Kunshan University was granted the accreditation approval by China’s Ministry of Education in September 2013. Duke Kunshan welcomed its first group of students in August 2014, initially offering graduate degrees as well as term-long programs for undergraduate students enrolled at Duke and other universities. In August 2018, Duke Kunshan welcomed its inaugural undergraduate class. The four-year bachelor’s degree program is based in the liberal arts and sciences tradition, which emphasizes critical thinking, creativity, collaboration and exploration. With the goal of spearheading the future of higher education, Duke Kunshan is influenced and informed by both Chinese and American traditions of higher education. The shared vision of Duke and Wuhan u niversities is that Duke Kunshan will help address the changing needs of global higher education. Their rich heritage inspires Duke Kunshan to pursue academic excellence and","Duke Kunshan University is a Sino -American partnership of Duke University, Wuhan University and Kunshan city in Jiangsu province to create a world -class liberal arts and research university offering a range of academic programs for students from China and throughout the world. A nonprofit, joint -venture institution, Duke Kunshan University was granted the accreditation approval by China’s Ministry of Education in September 2013. Duke Kunshan welcomed its first group of students in August 2014, initially offering graduate degrees as well as term-long programs for undergraduate students enrolled at Duke and other universities. In August 2018, Duke Kunshan welcomed its inaugural undergraduate class. The four-year bachelor’s degree program is based in the liberal arts and sciences tradition, which emphasizes critical thinking, creativity, collaboration and exploration. With the goal of spearheading the future of higher education, Duke Kunshan is influenced and informed by both Chinese and American traditions of higher education. The shared vision of Duke and Wuhan u niversities is that Duke Kunshan will help address the changing needs of global higher education. Their rich heritage inspires Duke Kunshan to pursue academic excellence and",184,2,DKU & Duke Academic Structure,2.3882208,1.0353109,p0003,p0042,p0010,p0043,p0018
p0007,Part 1: General Information,Mission Statement,Who We Are,Mission Statement,11,"integrity and apply classroom knowledge in service to society. Duke Kunshan delivers academic programs designed to address society’s future needs through a curriculum based in the liberal arts tradition and a comm itment to problem -based learning that challenges students to apply their knowledge during the learning process. As an international, intellectual community that encourages diversity, openness and creative learning, Duke Kunshan University welcomes outstanding students and faculty from around the world who contribute diverse perspectives and experiences to this global learning environment. The university’s innovative programs inspire students to master academically rigorous course work, generate new ideas and develop creative solutions to the world’s challenges, preparing them not just for careers in specific fields but to become globally sophisticated leaders and citizens. Duke Kunshan is governed by an independent Board of Trustees and operates under a set of guiding principles that are consistent with those of world -leading universities. Administrative operations are in the charge of the university leadership team, headed by the Chancellor and the Executive Vice Chancellor. Feng Youmei, Duke Kunshan University Chancellor, is a professor, the","integrity and apply classroom knowledge in service to society. Duke Kunshan delivers academic programs designed to address society’s future needs through a curriculum based in the liberal arts tradition and a comm itment to problem -based learning that challenges students to apply their knowledge during the learning process. As an international, intellectual community that encourages diversity, openness and creative learning, Duke Kunshan University welcomes outstanding students and faculty from around the world who contribute diverse perspectives and experiences to this global learning environment. The university’s innovative programs inspire students to master academically rigorous course work, generate new ideas and develop creative solutions to the world’s challenges, preparing them not just for careers in specific fields but to become globally sophisticated leaders and citizens. Duke Kunshan is governed by an independent Board of Trustees and operates under a set of guiding principles that are consistent with those of world -leading universities. Administrative operations are in the charge of the university leadership team, headed by the Chancellor and the Executive Vice Chancellor. Feng Youmei, Duke Kunshan University Chancellor, is a professor, the",180,2,DKU & Duke Academic Structure,2.6697257,1.5012237,p0003,p0018,p0006,p0015,p0014
p0008,Part 1: General Information,Mission Statement,Who We Are,Mission Statement,11,"former Executive Vice President of Wuhan University and the Vice Chairwoman for the Medical Education Committee of the China Association of Higher Education. She has profound expertise in medical education as well as abundant experience in university administration. Executive Vice Chancellor Al Bloom is a recognized global education leader and a scholar of psychology and language with a special focus on Chinese language and culture. Prior to joining DKU, Dr. Bloom","former Executive Vice President of Wuhan University and the Vice Chairwoman for the Medical Education Committee of the China Association of Higher Education. She has profound expertise in medical education as well as abundant experience in university administration. Executive Vice Chancellor Al Bloom is a recognized global education leader and a scholar of psychology and language with a special focus on Chinese language and culture. Prior to joining DKU, Dr. Bloom",71,6,Language & Academic Communication,2.4857233,1.3837477,p0002,p0242,p0003,p0011,p0433
p0009,Part 1: General Information,Mission Statement,Who We Are,Mission Statement,12,"served as the founding vice chancellor of NYU -Abu Dhabi for more than a decade and president of Swarthmore College for 18 years. Duke Kunshan University is a place for learning, living and self -discovery, in a setting that encourages the pursuit of knowledge within and beyond the classroom. Kunshan is located in close proximity to both Shanghai and Suzhou, two of the most developed metropolitan areas in China. Connected to both by high -speed rail and highways, the city of Kunshan is a center for business and h igh-tech research and manufacturing, and it has one of the fastest- growing economies in China. The 200-acre campus is in the Yangcheng Lake Science Park and features state -of-the-art classroom and meeting facilities, library resources, student and faculty housing and dining space, and recreational facilities. Multipurpose meeting spaces, breakout rooms and study areas allow students to work individually or in groups to review course materials, complete assignments and participate in the vibrant intellectual life of the campus. Partners","served as the founding vice chancellor of NYU -Abu Dhabi for more than a decade and president of Swarthmore College for 18 years. Duke Kunshan University is a place for learning, living and self -discovery, in a setting that encourages the pursuit of knowledge within and beyond the classroom. Kunshan is located in close proximity to both Shanghai and Suzhou, two of the most developed metropolitan areas in China. Connected to both by high -speed rail and highways, the city of Kunshan is a center for business and h igh-tech research and manufacturing, and it has one of the fastest- growing economies in China. The 200-acre campus is in the Yangcheng Lake Science Park and features state -of-the-art classroom and meeting facilities, library resources, student and faculty housing and dining space, and recreational facilities. Multipurpose meeting spaces, breakout rooms and study areas allow students to work individually or in groups to review course materials, complete assignments and participate in the vibrant intellectual life of the campus. Partners",167,2,DKU & Duke Academic Structure,2.5549302,1.1000739,p0006,p0003,p0054,p0018,p0012
p0010,Part 1: General Information,Mission Statement,Duke University,Mission Statement,12,"A private comprehensive teaching and research university, Duke traces its roots to 1838, and officially became Duke University in 1924. In addition to liberal arts and engineering education at the undergraduate level, Duke offers graduate and professional study in arts and sciences, business, divinity, engineering, the environment, law, public policy, medicine and nursing. Duke enrolls more than 15,000 students in its undergraduate, graduate, and professional programs. Duke’s home campus is situated on nearly 9,000 acres in Durham, North Carolina, USA, a city of more than 200,000 people. Duke also is active internationally through the Duke -NUS Graduate Medical School in Singapore, Duke Kunshan University in China and numerous research and education programs across the globe. More than 75 percent of Duke students pursue service - learning opportunities in Durham and around the world through DukeEngage and other programs that advance the university’s mission of “knowledge in service to society.”","A private comprehensive teaching and research university, Duke traces its roots to 1838, and officially became Duke University in 1924. In addition to liberal arts and engineering education at the undergraduate level, Duke offers graduate and professional study in arts and sciences, business, divinity, engineering, the environment, law, public policy, medicine and nursing. Duke enrolls more than 15,000 students in its undergraduate, graduate, and professional programs. Duke’s home campus is situated on nearly 9,000 acres in Durham, North Carolina, USA, a city of more than 200,000 people. Duke also is active internationally through the Duke -NUS Graduate Medical School in Singapore, Duke Kunshan University in China and numerous research and education programs across the globe. More than 75 percent of Duke students pursue service - learning opportunities in Durham and around the world through DukeEngage and other programs that advance the university’s mission of “knowledge in service to society.”",149,2,DKU & Duke Academic Structure,2.1547346,0.9144916,p0006,p0054,p0249,p0003,p0042
